directory,file_name,variable_name,variable_type,description
data,gdho_full.rda,id,integer,A unique Id for each organisation
data,gdho_full.rda,year,integer,Latest year information is available for
data,gdho_full.rda,name,character,Full organisation name
data,gdho_full.rda,abbreviated_name,character,Organisation abbreviation or acronym
data,gdho_full.rda,type,integer,"National NGO (NNGO), International NGO (INGO), UN, Red Cross/Crescent classification"
data,gdho_full.rda,international_or_national,integer,Organisation’s reach
data,gdho_full.rda,website,character,Organisation page url
data,gdho_full.rda,hq_location,character,Country where HQ office is located
data,gdho_full.rda,year_founded,integer,Year of establishment
data,gdho_full.rda,year_closed,integer,Year closed or last year of visible activity
data,gdho_full.rda,countries_of_operation_count,integer,Number of countries operational in
data,gdho_full.rda,sector,integer,"Children/youth, coordination, disabilities, education, environment, food security/agriculture, health, landmines, livelihoods, logistics/communications, nutrition, refugees, shelter, veterinary, water/sanitation, women"
data,gdho_full.rda,religious_or_secular,integer,Organisations religious affiliation
data,gdho_full.rda,religion,character,"Specific religious affiliation (ex. Catholic, Islamic, Jewish)"
data,gdho_full.rda,red_cross_code_of_conduct_signatory,integer,Signatory status of the organisation
data,gdho_full.rda,chs_member,integer,Signatory status to the Core Humanitarian Standard on Quality and Accountability 
data,gdho_full.rda,interaction_member,integer,Membership status
data,gdho_full.rda,icva_member,integer,Membership status
data,gdho_full.rda,staff,integer,Actual number of total staff
data,gdho_full.rda,staff_imputed,character,Imputed number of total staff
data,gdho_full.rda,natl,integer,Actual number of national staff
data,gdho_full.rda,natl_imputed,character,Imputed number of national staff
data,gdho_full.rda,intl,integer,Actual number of international staff
data,gdho_full.rda,intl_imputed,character,Imputed number of international staff
data,gdho_full.rda,percent_intl,double,Percent of total staff that are international
data,gdho_full.rda,ope_approx_usd,double,Actual approximate annual operational program expenditure in USD
data,gdho_full.rda,ope_imputed,character,Imputed approximate annual operational program expenditure in USD
data,gdho_full.rda,ope/staff,double,Percent of operational program expenditure per staff member
data,gdho_full.rda,ope_inflation_adjusted,double,Operational program expenditure adjusted for inflation
data,gdho_full.rda,ope_original_currency,character,Actual approximate operational program expenditure in original currency used by organisation
data,gdho_full.rda,ope_original_amount,character,Operational program expenditure amount in original currency
