"Please read a description of the CSV at this link: https://www.humanitarianoutcomes.org/sites/default/files/gdho_read_me.xlsx"
Id,Year,Name,"Abbreviated name",Type,"International or national",Website,"HQ location","Year founded","Year closed","Countries of Operation (count)",Sector,"Religious or secular",Religion,"Red Cross Code of Conduct signatory","CHS member","InterAction member","ICVA member",Staff,"Staff Imputed",Natl,"Natl Imputed",Intl,"Intl Imputed","% Intl","OPE approx (USD)","OPE Imputed",OPE/staff,"OPE (inflation adjusted)","OPE (original currency)","HumExp approx (USD)","HumExp Imputed","HumExp (inflation adjusted)",Afghanistan,Albania,Algeria,"American Samoa",Andorra,Angola,Anguilla,Antarctica,"Antigua and Barbuda",Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bosnia and Herzegovina",Botswana,"Bouvet Island",Brazil,"British Indian Ocean Territory","Brunei Darussalam",Bulgaria,"Burkina Faso",Burundi,Cambodia,Cameroon,Canada,"Cape Verde","Cayman Islands","Central African Republic",Chad,Chile,China,"Christmas Island","Cocos (Keeling) Islands",Colombia,Comoros,Congo,"Cook Islands","Costa Rica","Cote D'Ivoire",Croatia,Cuba,Cyprus,"Czech Republic",Denmark,Djibouti,Dominica,"Dominican Republic","DR Congo",Ecuador,Egypt,"El Salvador","Equatorial Guinea",Eritrea,Estonia,Ethiopia,"Falkland Islands (Malvinas)","Faroe Islands",Fiji,Finland,France,"French Guiana","French Polynesia","French Southern Territories",Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,"Heard Island and Mcdonald Islands","Holy See (Vatican City State)",Honduras,"Hong Kong",Hungary,Iceland,India,Indonesia,"Iran, Islamic Republic of",Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Democratic People's Republic of","Korea, Republic of",Kuwait,Kyrgyzstan,"Lao People's Democratic Republic",Latvia,Lebanon,Lesotho,Liberia,"Libyan Arab Jamahiriya",Liechtenstein,Lithuania,Luxembourg,Macao,"Macedonia, the Former Yugoslav Republic of",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,"Marshall Islands",Martinique,Mauritania,Mauritius,Mayotte,Mexico,"Micronesia, Federated States of","Moldova, Republic of",Monaco,Mongolia,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,"Netherlands Antilles","New Caledonia","New Zealand",Nicaragua,Niger,Nigeria,Niue,"Norfolk Island","Northern Mariana Islands",Norway,"Occupied Palestinian Territories",Oman,Pakistan,Palau,Panama,"Papua New Guinea",Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,"Puerto Rico",Qatar,Reunion,Romania,"Russian Federation",Rwanda,"Saint Helena","Saint Kitts and Nevis","Saint Lucia","Saint Pierre and Miquelon","Saint Vincent and the Grenadines",Samoa,"San Marino","Sao Tome and Principe","Saudi Arabia",Senegal,"Serbia and Montenegro",Seychelles,"Sierra Leone",Singapore,Slovakia,Slovenia,"Solomon Islands",Somalia,"South Africa","South Georgia and the South Sandwich Islands","South Sudan",Spain,"Sri Lanka",Sudan,Suriname,"Svalbard and Jan Mayen",Swaziland,Sweden,Switzerland,"Syrian Arab Republic",Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,"Trinidad and Tobago",Tunisia,Turkey,Turkmenistan,"Turks and Caicos Islands",Tuvalu,Uganda,Ukraine,"United Arab Emirates","United Kingdom","United States","United States Minor Outlying Islands",Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,"Virgin Islands, British","Virgin Islands, U.s.","Wallis and Futuna","Western Sahara",Yemen,Zambia,Zimbabwe
5420,2021," Al Ta'alouf Charity"," Al Ta'alouf",NNGO,,https://www.altaalouf.org,"Syrian Arab Republic",,,1,,,,,,,,890,A,890,A,,,,"$13,386,794",A,"$15,041.34","$14,437,416",,"$12,850,182",A,"$13,858,689",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2020,"Action Africa Help-International",AAH-I,INGO,International,http://www.actionafricahelp.org,Kenya,1987,,4,,Secular,,,,,,,,,,,,,"$14,658,708",A,"$17,682.40","$16,578,200",,"$12,833,628",A,"$14,514,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
23,2022,"Action Contre la Faim International (ACF/ACH/AAH)",ACF,INGO,International,http://www.actioncontrelafaim.org,France,1979,,58,,Secular,,1,1,1,1,7912,A,,,,,,$526,A,$0.07,$526,"Euro 463128000",,,,1,,,,,1,,,,,1,,,,1,,,1,,,,,,,,1,,,,,,,,1,,,,,,,1,1,,,,,1,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,1,,,1,,,,1,,,,,,,1,,,,1,,,1,,,,,1,,1,,,,,1,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
32,2022,"ActionAid International",,INGO,International,http://www.actionaid.org,"South Africa",1972,,45,,Secular,,1,,,,3249,A,,,,,,$188,A,$0.06,$188,"Euro 165240000",,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,1,,,,,1,,,1,,1,,,,,1,,,,1,,,,,,,1,,,,1,,1,,,,,1,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,1,1,,,,,,,,,1,,,,,1,1,,,,,,,,,,,1,,,1,1,,,,,,1,,,,,,1,1
40,2021,"Adventist Development and Relief Agency",ADRA,INGO,International,http://www.adra.org/,"United States",1956,,74,,Religious,Christian,1,,,,,,,,,,,"$254,598,415",A,"$89,647.33","$274,579,794",,"$77,966,928",A,"$84,085,924",1,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,1,,,,1,1,1,1,,,,,1,,1,,,1,,,,1,1,,,,,,,,1,1,1,,,,,,1,,,1,,,,,,,1,,,1,,,,,,,1,,,,1,,,1,,,,1,1,,,,,,1,,1,,1,,,1,,1,1,,,,1,,,,,,,1,1,,,1,,,,1,,,1,,1,,1,,,1,1,,,1,,,,,1,1,1,,,,,,,1,,,1,1,1,1,,,,,,,1,,1,,,,,,,,1,,1,1,,1,,1,1,,,1,,,,1,,,,,,,,,,1,1,,1,,,,1,1,,,,1,,,,1,,1,,,,1,,,,,1,1,1
46,2021,Afghanaid,A-Aid,INGO,International,http://www.afghanaid.org.uk,"United Kingdom",1983,,2,,Secular,,1,,,,,,,,,,,"$14,357,419",A,"$12,627.46","$15,484,217","GBP 10480916",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
51,2021,"Africa Humanitarian Action",AHA,INGO,International,http://www.africahumanitarian.org,Ethiopia,1994,,6,,Secular,,,,,1,,,,,,,,"$10,828,367",A,"$9,523.63","$11,678,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
5256,2020,"Africa Initiatives for Relief and Development",AIRD,INGO,,https://airdinternational.org,Uganda,2006,,10,,,,,,,,,,,,,,,"$30,460,892",A,"$36,744.14","$34,449,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
5249,2021,"African Field Epidemiology Network/ Réseau Africain D'épidémiologie de Terrain",AFENET,INGO,,http://www.afenet.net/,Uganda,2005,,31,,,,,,,,,,,,,,,"$92,171,083",A,"$59,851.35","$99,404,849",,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,1,,1,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,1
59,2022,"African Medical and Research Foundation (formerly the Flying Doctors of East Africa)","Amref Health Africa",INGO,International,http://www.amref.org,Kenya,1957,,21,Health,Secular,,,,,,,,,,,,,"$198,179,000",A,"$48,945.17","$198,179,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
