id,year,name,abbreviated_name,type,international_or_national,website,hq_location,year_founded,year_closed,countries_of_operation_count,sector,religious_or_secular,religion,red_cross_code_of_conduct_signatory,chs_member,interaction_member,icva_member,staff,staff_imputed,natl,natl_imputed,intl,intl_imputed,percent_intl,ope_approx_usd,ope_imputed,ope/staff,ope_inflation_adjusted,ope_original_currency,humexp_approx_usd,humexp_imputed,humexp_inflation_adjusted
5420,2021,Al Ta'alouf Charity,Al Ta'alouf,NNGO,NA,https://www.altaalouf.org,Syrian Arab Republic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,890,A,890,A,NA,NA,NA,13386794,A,15041.34,14437416,NA,12850182,A,13858689
22,2020,Action Africa Help-International,AAH-I,INGO,International,http://www.actionafricahelp.org,Kenya,1987,NA,4,NA,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14658708,A,17682.4,16578200,NA,12833628,A,14514134
23,2022,Action Contre la Faim International (ACF/ACH/AAH),ACF,INGO,International,http://www.actioncontrelafaim.org,France,1979,NA,58,NA,Secular,NA,1,1,1,1,7912,A,NA,NA,NA,NA,NA,526,A,0.07,526,Euro 463128000,NA,NA,NA
32,2022,ActionAid International,NA,INGO,International,http://www.actionaid.org,South Africa,1972,NA,45,NA,Secular,NA,1,NA,NA,NA,3249,A,NA,NA,NA,NA,NA,188,A,0.06,188,Euro 165240000,NA,NA,NA
40,2021,Adventist Development and Relief Agency,ADRA,INGO,International,http://www.adra.org/,United States,1956,NA,74,NA,Religious,Christian,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254598415,A,89647.33,274579794,NA,77966928,A,84085924
46,2021,Afghanaid,A-Aid,INGO,International,http://www.afghanaid.org.uk,United Kingdom,1983,NA,2,NA,Secular,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14357419,A,12627.46,15484217,GBP 10480916,NA,NA,NA
51,2021,Africa Humanitarian Action,AHA,INGO,International,http://www.africahumanitarian.org,Ethiopia,1994,NA,6,NA,Secular,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10828367,A,9523.63,11678198,NA,NA,NA,NA
5256,2020,Africa Initiatives for Relief and Development,AIRD,INGO,NA,https://airdinternational.org,Uganda,2006,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30460892,A,36744.14,34449608,NA,NA,NA,NA
5249,2021,African Field Epidemiology Network/ Réseau Africain D'épidémiologie de Terrain,AFENET,INGO,NA,http://www.afenet.net/,Uganda,2005,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92171083,A,59851.35,99404849,NA,NA,NA,NA
59,2022,African Medical and Research Foundation (formerly the Flying Doctors of East Africa),Amref Health Africa,INGO,International,http://www.amref.org,Kenya,1957,NA,21,Health,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198179000,A,48945.17,198179000,NA,NA,NA,NA
6585,2021,Agence luxembourgeoise pour la Coopération au développement,LuxDev,INGO,NA,https://luxdev.lu/fr,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158201468,A,55704.74,170617427,Euro 129725204,NA,NA,NA
69,2018,Agency for Assistance and Development of Afghanistan,AADA,NNGO,National,http://www.aada.org.af,Afghanistan,2005,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30329470,A,29023.42,35354185,NA,NA,NA,NA
13,2013,Agency for Cooperation and Research in Development/Association de Coopération et de Recherches pour le Développement,ACORD,INGO,International,http://www.acordinternational.org,NA,1976,2021,17,NA,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13679032,A,14248.99,17187089,GBP 8481000,NA,NA,NA
21,2022,Agency for Technical Cooperation and Development/Agence d?Aide à la Coopération Technique et au Développement,ACTED,INGO,International,http://www.acted.org/,France,1993,NA,31,NA,Secular,NA,1,1,NA,1,7661,A,7207,A,454,A,6,612199298,A,79911.15,612199298,Euro 538735382402,NA,NA,NA
79,2020,Aide et Action International,NA,INGO,International,http://www.aide-et-action.org,Switzerland,1981,NA,19,Education,Secular,NA,NA,NA,NA,NA,508,A,NA,NA,NA,NA,NA,14565650,A,28672.54,16472956,Euro 13109085,NA,NA,NA
6272,2020,Alianza Por la Solidaridad,ALIANZA,INGO,NA,https://www.alianzaporlasolidaridad.org,Spain,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,95,A,NA,NA,NA,NA,NA,8180947,A,86115.23,9252205,Euro 7362852,NA,NA,NA
110,2020,ALIGHT (formerly American Refugee Committee),ARC,INGO,International,http://www.arcrelief.org,United States,1979,NA,20,NA,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57961382,A,22535.53,65551163,NA,NA,NA,NA
5214,2021,Alliance for International Medical Action,ALIMA,INGO,International,http://alima-ong.com/en/,NA,2009,NA,13,Health,Secular,NA,NA,NA,NA,NA,1906,A,NA,NA,NA,NA,NA,76240244,A,40000.13,82223727,Euro 62517000,70141024,A,75645828
109,2022,American Near East Refugee Aid,ANERA,INGO,International,http://www.anera.org,United States,1968,NA,4,NA,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103152603,A,736804.31,103152603,NA,86549892,A,86549892
126,2010,Ananda Marga Universal Relief Team International,AMURT,INGO,International,http://www.amurt.net/,United States,1965,NA,16,NA,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12987088,A,17766.19,17432773,NA,NA,NA,NA
160,2021,Armenian Missionary Association of America,AMAA,INGO,International,http://www.amaa.org,United States,1920,NA,24,NA,Religious,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12486683,A,10982.13,13466662,NA,5170745,A,5576555
184,2010,Asociacion para la Cooperacion con el sur las Segovias,ACSUR,INGO,International,NA,Spain,NA,2020,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23429135,A,32050.8,31449297,Euro 17649465,NA,NA,NA
188,2021,Assist International,AI,INGO,International,http://www.assistinternational.org,United States,1990,NA,21,NA,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16882339,A,14848.14,18207298,NA,NA,NA,NA
247,2021,Associazione Volontari per il Servizio Internazionale,AVSI,INGO,International,http://www.avsi.org,Italy,1972,NA,39,NA,Religious,Catholic,NA,NA,NA,NA,2097,A,1997,A,100,A,5,104818745,A,49985.1,113045124,Euro 85951371,NA,NA,NA
261,2010,Aviation Sans Frontières,ASF,INGO,International,http://www.asf-fr.org/,France,1980,NA,1,Logistics/Communications,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5994114,A,8199.88,8045994,Euro 4195880,NA,NA,NA
265,2021,Ayuda en Acción,NA,INGO,International,http://www.ayudaenaccion.org,Spain,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,499,A,NA,NA,NA,NA,NA,43710118,A,87595.43,47140573,Euro 35842297,NA,NA,NA
2616,2011,Balochistan Rural Support Programme,BRSP,NNGO,National,http://www.brsp.org.pk/,Pakistan,1983,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13867335,A,13515.92,18044754,PKR 1402681025,13793762,A,17949018
282,2012,Batey Relief Alliance,BRA,INGO,International,http://bateyrelief.org,United States,1997,NA,4,NA,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8089577,A,7096.12,10313071,NA,8006456,A,10207103
